loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
5.4816162109375,10.304167747497559,8.305084745762712e-06,0.0847457627118644,50,,,,,,,,,
5.082708435058594,8.924752235412598,1.677966101694915e-05,0.1694915254237288,100,,,,,,,,,
4.864760131835937,9.148311614990234,2.5254237288135595e-05,0.2542372881355932,150,,,,,,,,,
4.732491149902343,9.405464172363281,3.3728813559322035e-05,0.3389830508474576,200,,,,,,,,,
4.575550842285156,9.408448219299316,4.220338983050848e-05,0.423728813559322,250,,,,,,,,,
4.395658874511719,8.365644454956055,4.992467043314501e-05,0.5084745762711864,300,,,,,,,,,
4.3453216552734375,9.361416816711426,4.898305084745763e-05,0.5932203389830508,350,,,,,,,,,
4.345233154296875,7.484846115112305,4.804143126177025e-05,0.6779661016949152,400,,,,,,,,,
4.269381408691406,7.490738391876221,4.709981167608287e-05,0.7627118644067796,450,,,,,,,,,
4.176787414550781,7.360775470733643,4.615819209039548e-05,0.847457627118644,500,,,,,,,,,
4.2482473754882815,6.842792510986328,4.52165725047081e-05,0.9322033898305084,550,,,,,,,,,
,,,1.0,590,4.031421661376953,2.8141,424.298,26.652,,,,,
4.215208435058594,7.280980587005615,4.427495291902072e-05,1.0169491525423728,600,,,,,,,,,
3.9355926513671875,7.7318010330200195,4.3333333333333334e-05,1.1016949152542372,650,,,,,,,,,
3.9270343017578124,6.725979804992676,4.2391713747645955e-05,1.1864406779661016,700,,,,,,,,,
3.9545654296875,8.613017082214355,4.145009416195857e-05,1.271186440677966,750,,,,,,,,,
3.8158499145507814,8.254037857055664,4.050847457627119e-05,1.3559322033898304,800,,,,,,,,,
3.8218731689453125,6.32521915435791,3.9566854990583805e-05,1.4406779661016949,850,,,,,,,,,
3.8476385498046874,7.437610149383545,3.8625235404896426e-05,1.5254237288135593,900,,,,,,,,,
3.8432125854492187,6.692010879516602,3.768361581920904e-05,1.6101694915254239,950,,,,,,,,,
3.817166442871094,7.509608268737793,3.674199623352166e-05,1.694915254237288,1000,,,,,,,,,
3.825918884277344,7.2583794593811035,3.5800376647834276e-05,1.7796610169491527,1050,,,,,,,,,
3.8003411865234376,6.898197174072266,3.48587570621469e-05,1.8644067796610169,1100,,,,,,,,,
3.7981866455078124,6.681116580963135,3.391713747645951e-05,1.9491525423728815,1150,,,,,,,,,
,,,2.0,1180,3.8896851539611816,2.5827,462.307,29.039,,,,,
3.7540383911132813,7.421924114227295,3.2975517890772126e-05,2.0338983050847457,1200,,,,,,,,,
3.5916006469726565,8.583613395690918,3.203389830508475e-05,2.1186440677966103,1250,,,,,,,,,
3.5474337768554687,6.756461143493652,3.109227871939737e-05,2.2033898305084745,1300,,,,,,,,,
3.525251770019531,7.373213291168213,3.0150659133709985e-05,2.288135593220339,1350,,,,,,,,,
3.620627136230469,7.53402042388916,2.92090395480226e-05,2.3728813559322033,1400,,,,,,,,,
3.604490051269531,6.899181842803955,2.8267419962335217e-05,2.457627118644068,1450,,,,,,,,,
3.650382080078125,7.242055892944336,2.7325800376647835e-05,2.542372881355932,1500,,,,,,,,,
3.577215270996094,7.162776947021484,2.6384180790960456e-05,2.6271186440677967,1550,,,,,,,,,
3.5046237182617186,6.384416103363037,2.5442561205273067e-05,2.711864406779661,1600,,,,,,,,,
3.523238525390625,6.5381035804748535,2.450094161958569e-05,2.7966101694915255,1650,,,,,,,,,
3.5768856811523437,7.465188026428223,2.3559322033898306e-05,2.8813559322033897,1700,,,,,,,,,
3.489893798828125,7.04488468170166,2.2617702448210924e-05,2.9661016949152543,1750,,,,,,,,,
,,,3.0,1770,3.844243288040161,2.5758,463.546,29.117,,,,,
3.4554019165039063,6.462918758392334,2.167608286252354e-05,3.0508474576271185,1800,,,,,,,,,
3.396584167480469,7.306074619293213,2.073446327683616e-05,3.135593220338983,1850,,,,,,,,,
3.3984918212890625,7.742700099945068,1.9792843691148777e-05,3.2203389830508473,1900,,,,,,,,,
3.419373779296875,7.364044189453125,1.8851224105461395e-05,3.305084745762712,1950,,,,,,,,,
3.3861630249023436,7.049924850463867,1.7909604519774012e-05,3.389830508474576,2000,,,,,,,,,
3.37264404296875,7.426365852355957,1.696798493408663e-05,3.4745762711864407,2050,,,,,,,,,
3.3909222412109377,6.876771926879883,1.6026365348399248e-05,3.559322033898305,2100,,,,,,,,,
3.4244735717773436,6.890383720397949,1.5084745762711865e-05,3.6440677966101696,2150,,,,,,,,,
3.4009918212890624,7.787566184997559,1.4143126177024482e-05,3.7288135593220337,2200,,,,,,,,,
3.361942138671875,6.624901294708252,1.3201506591337101e-05,3.8135593220338984,2250,,,,,,,,,
3.32187744140625,6.251547336578369,1.2259887005649719e-05,3.898305084745763,2300,,,,,,,,,
3.4075357055664064,8.086235046386719,1.1318267419962336e-05,3.983050847457627,2350,,,,,,,,,
,,,4.0,2360,3.8412680625915527,2.571,464.409,29.171,,,,,
3.262514343261719,6.831494331359863,1.0376647834274954e-05,4.067796610169491,2400,,,,,,,,,
3.279560546875,8.074084281921387,9.435028248587572e-06,4.1525423728813555,2450,,,,,,,,,
3.3354376220703124,6.514974117279053,8.49340866290019e-06,4.237288135593221,2500,,,,,,,,,
3.2943804931640623,6.869975566864014,7.551789077212806e-06,4.322033898305085,2550,,,,,,,,,
3.3520071411132815,7.916257858276367,6.610169491525424e-06,4.406779661016949,2600,,,,,,,,,
3.2802053833007814,7.818162441253662,5.668549905838042e-06,4.491525423728813,2650,,,,,,,,,
3.2242132568359376,7.739632606506348,4.7269303201506595e-06,4.576271186440678,2700,,,,,,,,,
3.3226992797851564,6.438892364501953,3.7853107344632772e-06,4.661016949152542,2750,,,,,,,,,
