epoch,D_loss,G_loss,D_real_acc,D_fake_acc
1,0.4512957890017503,0.9199601342888917,0.8266369047619048,0.8955144557823129
2,0.28696775335032926,1.563700752193425,0.9371811224489796,0.9896896258503401
3,0.43701717439962895,1.0104473618423047,0.9795918367346939,0.966624149659864
4,0.37252970333813,1.1062480361283231,0.9874574829931972,0.9997874149659864
5,0.31208030889634375,1.3818733773263945,0.9919217687074829,0.9998937074829932
6,0.26904519125312365,1.7189214278240592,0.9914965986394558,0.9998937074829932
7,0.24117002448662608,2.0647678991564278,0.9921343537414966,1.0
8,0.22455166979711882,2.38022281685654,0.9908588435374149,1.0
9,0.21311262087757085,2.6658777622949508,0.9911777210884354,1.0
10,0.20585965572976742,2.9151827640273944,0.9936224489795918,1.0
11,0.19969540611416303,3.1302431683962038,0.9939413265306123,1.0
12,0.19528869189778153,3.318491963302197,0.9953231292517006,1.0
13,0.19189787843600423,3.4834489968358255,0.9958545918367347,1.0
14,0.18901686664341258,3.631216595772983,0.99734268707483,1.0
15,0.18645285303089895,3.7644168730495737,0.9977678571428571,0.9998937074829932
16,0.184184695080835,3.8898738501023273,0.9987244897959183,1.0
17,0.182295665753131,4.004107364991895,0.9982993197278912,1.0
18,0.18100854744311093,4.111897338815287,0.9992559523809523,1.0
19,0.17958531584463963,4.199906417301723,0.9993622448979592,1.0
20,0.17825241113195614,4.283885268127026,0.9991496598639455,1.0
21,0.17700275211107164,4.37020528235403,0.9993622448979592,1.0
22,0.17942411224452817,4.347074267004623,0.9990433673469388,0.9997874149659864
23,0.26206785480992323,3.293015656017122,0.9327168367346939,0.9740646258503401
24,0.34167459232061087,2.451412820491661,0.8476828231292517,0.9567389455782312
25,0.392173029330312,2.4974348877562957,0.8017644557823129,0.9362244897959183
26,0.4132254638639437,2.443158451391726,0.7769982993197279,0.9203869047619048
27,0.37123491508620127,2.331693267335697,0.8186649659863946,0.9491921768707483
28,0.350750250881221,2.1978593797099832,0.8398171768707483,0.9575892857142857
29,0.3865256473726156,2.5522276917282416,0.8061224489795918,0.938562925170068
30,0.4118252197901408,2.726597784327812,0.7810374149659864,0.9311224489795918
