loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision_macro,eval_recall_macro,eval_f1_macro,eval_f1_bearish,eval_f1_bullish,eval_f1_neutral,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1313803863525391,4.39475679397583,4.152542372881356e-06,0.0847457627118644,50,,,,,,,,,,,,,,,,
1.0842410278320314,6.619508266448975,8.389830508474577e-06,0.1694915254237288,100,,,,,,,,,,,,,,,,
1.012207260131836,8.793298721313477,1.2627118644067797e-05,0.2542372881355932,150,,,,,,,,,,,,,,,,
0.8291914367675781,8.973896980285645,1.6864406779661018e-05,0.3389830508474576,200,,,,,,,,,,,,,,,,
0.7487516021728515,9.998748779296875,1.987758945386064e-05,0.423728813559322,250,,,,,,,,,,,,,,,,
0.6284403991699219,12.260951042175293,1.940677966101695e-05,0.5084745762711864,300,,,,,,,,,,,,,,,,
0.5492809295654297,14.39194393157959,1.893596986817326e-05,0.5932203389830508,350,,,,,,,,,,,,,,,,
0.6404520416259766,17.564821243286133,1.846516007532957e-05,0.6779661016949152,400,,,,,,,,,,,,,,,,
0.5387222290039062,30.70164680480957,1.7994350282485876e-05,0.7627118644067796,450,,,,,,,,,,,,,,,,
0.5165843963623047,10.399077415466309,1.7523540489642186e-05,0.847457627118644,500,,,,,,,,,,,,,,,,
0.5107777786254882,11.066545486450195,1.7052730696798493e-05,0.9322033898305084,550,,,,,,,,,,,,,,,,
,,,1.0,590,0.42838695645332336,0.8425460636515912,0.7749086166044153,0.8358221097943583,0.8000172084605918,0.739946380697051,0.766798418972332,0.8933068257123923,2.3361,511.102,16.266,,,,,
0.5306147766113282,19.301898956298828,1.6581920903954804e-05,1.0169491525423728,600,,,,,,,,,,,,,,,,
0.3716216278076172,4.27695369720459,1.6111111111111115e-05,1.1016949152542372,650,,,,,,,,,,,,,,,,
0.3540005874633789,8.098630905151367,1.5640301318267422e-05,1.1864406779661016,700,,,,,,,,,,,,,,,,
0.3554877853393555,12.786949157714844,1.5169491525423729e-05,1.271186440677966,750,,,,,,,,,,,,,,,,
0.37206642150878905,4.1045026779174805,1.4698681732580038e-05,1.3559322033898304,800,,,,,,,,,,,,,,,,
